ID,Title,Authors,Year,Design,Q1,Q2,Q3,Q4,Q5,AssessmentBasis,ReviewerRole,Limitations
Implementation2025_000,The Implementation of Educational Data Mining in Predicting Students’ Academic Achievement in Mathematics at a Private Elementary School,H. Tjahyadi,2025,quantitative_descriptive,Y,N,Y,CT,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Escola particular única (n=280); representatividade limitada; viés de não resposta não discutido
Design2025_004,Design of Personalized Learning Path Optimization Algorithm Based on Deep Learning,Lei Zhang et al.,2025,quantitative_nonrandomized,CT,Y,CT,N,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,População pouco descrita; completude dos dados e confundidores não esclarecidos
Enhancing2025_012,Enhancing Student Achievement in Circle Theorems: Integrating Computer Animation with the Jigsaw Cooperative Learning Model,Rahmat Opoku Nyantah et al.,2025,quantitative_nonrandomized,Y,Y,CT,N,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Atribuição por turmas; confundidores não controlados; completude não reportada
Assessing2024_015,Assessing the Effectiveness of Adaptive Learning Systems in K-12 Education,Boby Chellanthara Jose et al.,2024,mixed_methods,Y,CT,CT,N,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Integração entre componentes insuficientemente descrita; divergências não discutidas
Authentic2024_013,"Authentic Assessment for Motivating Student Learning and Teaching Effectiveness in Rural, High-Need Secondary Schools in Manitoba, Canada",Eric. K. Appiah-Odame,2024,qualitative,Y,Y,Y,Y,N,"Resumo, metadados e descrição metodológica disponível",Revisor único,Amostra pequena (12 docentes); contexto rural específico; triangulação não identificada
Machine2024_009,Machine learning methods as auxiliary tool for effective mathematics teaching,Marina Milićević et al.,2024,quantitative_descriptive,Y,N,Y,CT,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Instituição única; representatividade limitada; não resposta não discutida
Performance2023_014,Performance assessment: Improving metacognitive ability in mathematics learning,N. M. S. Mertasari et al.,2023,quantitative_nonrandomized,Y,Y,CT,Y,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Atribuição por grupos; completude dos dados não explicitada
Innovative2023_005,An Innovative Model of Higher Mathematics Curriculum Education Incorporating Artificial Intelligence Technology,Xiaohui Zhang,2023,quantitative_nonrandomized,CT,Y,CT,Y,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Contexto restrito ao ensino superior; completude não reportada
Machine2022_010,A Machine Learning and Explainable AI Approach for Predicting Secondary School Student Performance,Khan Md Hasib et al.,2022,quantitative_descriptive,Y,Y,Y,CT,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Base secundária; completude não discutida; sem validação em sala de aula
Analysis2022_003,Analysis of Feature Selection and Data Mining Techniques to Predict Student Academic Performance,Mukesh Kumar et al.,2022,quantitative_descriptive,Y,CT,Y,CT,N,"Resumo, metadados e descrição metodológica disponível",Revisor único,Origem dos dados pouco detalhada; ausência de validação cruzada; métricas limitadas
Math2021_001,Math proficiency prediction in computer-based international large-scale assessments using a multi-class machine learning model,Aleksandar Pejic et al.,2021,quantitative_descriptive,Y,Y,Y,Y,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Base PISA e amostragem ampla; limitações contextuais permanecem
Analysis2021_016,Analysis of Facebook in the Teaching-Learning Process about Mathematics Through Data Science,R. Salas-Rueda,2021,quantitative_nonrandomized,N,Y,CT,N,CT,"Resumo, metadados e descrição metodológica disponível",Revisor único,Amostra pequena e de conveniência; confundidores não controlados; desenho observacional
Data2020_011,Data Mining for Student Performance Prediction in Education,Ferda Ünal,2020,quantitative_descriptive,Y,CT,CT,CT,CT,"Resumo, metadados e descrição metodológica disponível",Revisor único,Descrição metodológica insuficiente; métricas e vieses pouco detalhados
Multimodels2020_002,Multi-models of Educational Data Mining for Predicting Student Performance in Mathematics: A Case Study on High Schools in Cambodia,Phauk Sokkhey et al.,2020,quantitative_descriptive,Y,CT,Y,CT,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Contexto específico do Camboja; representatividade não discutida
Machine2019_007,Machine Learning-based Predictive Analytics of Student Academic Performance in STEM Education,Vladimir L. Uskov et al.,2019,quantitative_descriptive,Y,N,Y,CT,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Universidade única; benchmark sem aplicação em sala; dados não compartilhados
Computational2017_008,"Computational Models of Human Learning: Applications for Tutor Development, Behavior Prediction, and Theory Testing",Christopher J. MacLellan,2017,quantitative_nonrandomized,Y,Y,Y,Y,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Validação em sete domínios; transferência para escolas ainda requer avaliação
Identifying2017_006,Identifying the Classification Performances of Educational Data Mining Methods: A Case Study for TIMSS,Serpil Kılıç Depren et al.,2017,quantitative_descriptive,Y,Y,Y,Y,Y,"Resumo, metadados e descrição metodológica disponível",Revisor único,Base internacional robusta; resultados permanecem vinculados ao contexto TIMSS
