snapshot_date,study_id,study_key,title,year_in_snapshot,doi,venue,historical_assessment,primary_source_url,source_status,empirical_status,design_status,mmat_status
2026-08-31,1,Math2021_001,Math proficiency prediction in computer-based international large-scale assessments using a multi-class machine learning model,2021,10.1109/SISY52375.2021.9582522,2021 IEEE 19th International Symposium on Intelligent Systems and Informatics (SISY),retained_historical_mapping,https://doi.org/10.1109/SISY52375.2021.9582522,primary_identifier_not_archived,empirical_abstract_only,abstract_based,provisional_reassessment_only
2026-08-31,2,Implementation2025_000,The Implementation of Educational Data Mining in Predicting Students' Academic Achievement in Mathematics at a Private Elementary School,2025,10.18178/ijiet.2025.15.1.2228,International Journal of Information and Education Technology,retained_historical_mapping,https://www.ijiet.org/vol15/IJIET-V15N1-2228.pdf,primary_text_reviewed_external,empirical_confirmed_external,design_reassessed_provisional,provisional_reassessment_only
2026-08-31,3,Multimodels2020_002,Multi-models of Educational Data Mining for Predicting Student Performance in Mathematics: A Case Study on High Schools in Cambodia,2020,10.5573/IEIESPC.2020.9.3.217,IEIE Transactions on Smart Processing and Computing,retained_historical_mapping,https://www.researchgate.net/publication/342670436_Multi-models_of_Educational_Data_Mining_for_Predicting_Student_Performance_in_Mathematics_A_Case_Study_on_High_Schools_in_Cambodia,primary_text_reviewed_external,empirical_confirmed_external,design_reassessed_provisional,provisional_reassessment_only
2026-08-31,4,Analysis2022_003,Analysis of Feature Selection and Data Mining Techniques to Predict Student Academic Performance,2022,10.1109/DASA54658.2022.9765236,2022 International Conference on Decision Aid Sciences and Applications (DASA),retained_historical_mapping,https://www.researchgate.net/publication/359520060_Analysis_of_Feature_Selection_and_Data_Mining_Techniques_to_Predict_Student_Academic_Performance,primary_text_reviewed_external,empirical_confirmed_external,design_reassessed_provisional,provisional_reassessment_only
2026-08-31,5,Design2025_004,Design of Personalized Learning Path Optimization Algorithm Based on Deep Learning,2025,10.1109/CIPAE66821.2025.00116,"2025 International Conference on Computers, Information Processing and Advanced Education (CIPAE)",retained_historical_mapping,https://doi.org/10.1109/CIPAE66821.2025.00116,primary_identifier_not_archived,empirical_abstract_only,abstract_based,provisional_reassessment_only
2026-08-31,6,Identifying2017_006,Identifying the Classification Performances of Educational Data Mining Methods: A Case Study for TIMSS,2017,10.12738/estp.2017.5.0634,Educational Sciences: Theory & Practice,retained_historical_mapping,https://jestp.com/menuscript/index.php/estp/article/download/426/381/754,primary_text_reviewed_external,empirical_confirmed_external,design_reassessed_provisional,provisional_reassessment_only
2026-08-31,7,Innovative2023_005,An Innovative Model of Higher Mathematics Curriculum Education Incorporating Artificial Intelligence Technology,2023,10.2478/amns.2023.2.01524,Applied Mathematics and Nonlinear Sciences,retained_historical_mapping,https://amns.sciendo.com/pdf/10.2478/amns.2023.2.01524,primary_text_reviewed_external,empirical_confirmed_external,design_reassessed_provisional,provisional_reassessment_only
2026-08-31,8,Computational2017_008,"Computational Models of Human Learning: Applications for Tutor Development, Behavior Prediction, and Theory Testing",2017,10.1184/R1/6715271,Research Showcase @ Carnegie Mellon University,retained_historical_mapping,https://chrismaclellan.com/media/publications/MacLellan-Camera-Ready.pdf,primary_text_reviewed_external,empirical_confirmed_external,design_reassessed_provisional,provisional_reassessment_only
2026-08-31,9,Machine2019_007,Machine Learning-based Predictive Analytics of Student Academic Performance in STEM Education,2019,10.1109/EDUCON.2019.8725237,2019 IEEE Global Engineering Education Conference (EDUCON),retained_historical_mapping,https://doi.org/10.1109/EDUCON.2019.8725237,primary_identifier_not_archived,empirical_abstract_only,abstract_based,provisional_reassessment_only
2026-08-31,10,Machine2024_009,Machine learning methods as auxiliary tool for effective mathematics teaching,2024,10.1002/cae.22787,Computer Applications in Engineering Education,retained_historical_mapping,https://doi.org/10.1002/cae.22787,primary_identifier_not_archived,empirical_abstract_only,abstract_based,provisional_reassessment_only
