source_id,study_id,source_url,source_type,accessed_date,local_file,sha256,full_text_status,verification_note
PS-001,1,https://doi.org/10.1109/SISY52375.2021.9582522,doi_identifier,2026-09-01,,,not_archived,Primary identifier recorded; IEEE endpoint was reached through the DOI but returned an access challenge; full text not archived in repository
PS-002,2,https://www.ijiet.org/vol15/IJIET-V15N1-2228.pdf,publisher_pdf,2026-08-31,,,externally_reviewed_not_archived,Primary PDF reviewed for the current provisional MMAT ledger; not copied into the repository
PS-003,3,https://www.researchgate.net/publication/342670436_Multi-models_of_Educational_Data_Mining_for_Predicting_Student_Performance_in_Mathematics_A_Case_Study_on_High_Schools_in_Cambodia,author_uploaded_fulltext,2026-08-31,,,externally_reviewed_not_archived,Author-uploaded full text reviewed for the current provisional MMAT ledger; not copied into the repository
PS-004,4,https://www.researchgate.net/publication/359520060_Analysis_of_Feature_Selection_and_Data_Mining_Techniques_to_Predict_Student_Academic_Performance,author_uploaded_fulltext,2026-08-31,,,externally_reviewed_not_archived,Author-uploaded full text reviewed for the current provisional MMAT ledger; not copied into the repository
PS-005,5,https://doi.org/10.1109/CIPAE66821.2025.00116,doi_identifier,2026-09-01,,,not_archived,Primary identifier recorded; IEEE endpoint was reached through the DOI but returned an access challenge; full text not archived in repository
PS-006,6,https://jestp.com/menuscript/index.php/estp/article/download/426/381/754,publisher_pdf,2026-08-31,,,externally_reviewed_not_archived,Publisher PDF reviewed for the current provisional MMAT ledger; not copied into the repository
PS-007,7,https://amns.sciendo.com/pdf/10.2478/amns.2023.2.01524,publisher_pdf,2026-08-31,,,externally_reviewed_not_archived,Publisher PDF reviewed for the current provisional MMAT ledger; not copied into the repository
PS-008,8,https://chrismaclellan.com/media/publications/MacLellan-Camera-Ready.pdf,author_fulltext_pdf,2026-08-31,,,externally_reviewed_not_archived,Author-hosted dissertation PDF reviewed for the current provisional MMAT ledger; not copied into the repository
PS-009,9,https://doi.org/10.1109/EDUCON.2019.8725237,doi_identifier,2026-09-01,,,not_archived,Primary identifier recorded; IEEE endpoint was reached through the DOI but returned an access challenge; full text not archived in repository
PS-010,10,https://doi.org/10.1002/cae.22787,doi_identifier,2026-09-01,,,not_archived,Wiley endpoint returned an access block during retrieval; the primary identifier and public metadata remain recorded; full text not archived in repository
PS-6916,6916,https://link.springer.com/article/10.1186/s40561-025-00389-y,publisher_article,2026-08-31,,,externally_reviewed_not_archived,Publisher HTML reviewed for the current provisional MMAT ledger; not copied into the repository
PS-6917,6917,https://thesai.org/Downloads/Volume17No5/Paper_16-A_Hybrid_Neuro_Fuzzy_and_Machine_Learning_Model.pdf,publisher_pdf,2026-08-31,,,externally_reviewed_not_archived,Publisher PDF reviewed for the current provisional MMAT ledger; not copied into the repository
PS-6918,6918,https://www.research-collection.ethz.ch/handle/20.500.11850/154763,institutional_repository_record_and_abstract,2026-09-01,,,abstract_metadata_available_primary_not_recovered,Official ETH repository record and its accessible abstract bitstream confirm the title, DOI and 2014 publication year; the full thesis endpoint remained inaccessible and was not archived locally; this conflicts with the 2025 year stored in the operational snapshot, so temporal eligibility and criterion-level appraisal remain on hold
PS-6920,6920,https://www.eu-opensci.org/index.php/ejedu/article/download/30934/6690/33249,publisher_pdf,2026-08-31,,,externally_reviewed_not_archived,Publisher PDF reviewed for the current provisional MMAT ledger; not copied into the repository
PS-6921,6921,https://www.inclusiveteaching.it/index.php/inclusiveteaching/article/download/449/422/3083,publisher_pdf,2026-08-31,,,externally_reviewed_not_applicable,Publisher PDF was reviewed; it describes a prospective protocol/proposal without completed empirical results, so the empirical MMAT criteria are not applicable at this stage
PS-6923,6923,https://doi.org/10.7916/2q6y-bm58,doi_identifier,2026-09-01,,,abstract_metadata_available_primary_not_recovered,Columbia repository abstract and dissertation metadata identify the work; the DOI resolves to the repository, but automated retrieval encountered its access-protection page and the exact primary dissertation text was not recovered
