duplicate_id,retained_id,identifier_type,identifier,duplicate_title,retained_title,duplicate_stage,retained_stage,duplicate_status,retained_status,retained_stage_source_id,decision
11151,89,doi,10.1109/iciet60671.2024.10542742,Contextualized and Personalized Math Word Problem Generation Using GPT and Authentic Contextual Recognition,Contextualized and Personalized Math Word Problem Generation Using GPT and Authentic Contextual Recognition,screening,eligibility,excluded,excluded,89.0,remove_duplicate_record_from_prisma_flow
7925,131,doi,10.1109/tlt.2024.3382000,The Design of Guiding and Adaptive Prompts for Intelligent Tutoring Systems and Its Effect on Students’ Mathematics Learning,The Design of Guiding and Adaptive Prompts for Intelligent Tutoring Systems and Its Effect on Students’ Mathematics Learning,screening,eligibility,excluded,excluded,131.0,remove_duplicate_record_from_prisma_flow
10231,539,doi,10.1109/ieir56323.2022.10050083,An Intelligent Tutoring System for Math Word Problem Solving with Tutorial Solution Generation,An Intelligent Tutoring System for Math Word Problem Solving with Tutorial Solution Generation,screening,eligibility,excluded,excluded,539.0,remove_duplicate_record_from_prisma_flow
8392,681,doi,10.1109/tlt.2017.2689017,Dynamic Bayesian Networks for Student Modeling,Dynamic Bayesian Networks for Student Modeling,screening,eligibility,excluded,excluded,681.0,remove_duplicate_record_from_prisma_flow
7823,707,doi,10.1109/ro-man63969.2025.11217562,Adaptive versus non-adaptive mathematics tutoring by social robots in Tanzanian primary schools,Adaptive Versus Non-adaptive Mathematics Tutoring by Social Robots in Tanzanian Primary Schools,eligibility,eligibility,excluded,excluded,707.0,remove_duplicate_record_from_prisma_flow
823,7300,doi,10.1080/1743727x.2017.1301916,A machine learning approach to investigating the effects of mathematics dispositions on mathematical literacy,A machine learning approach to investigating the effects of mathematics dispositions on mathematical literacy,eligibility,eligibility,excluded,excluded,823.0,remove_duplicate_record_from_prisma_flow
10194,946,doi,10.1109/compsac.2015.126,Problem Posing and Solving: Strategic Italian Key Action to Enhance Teaching and Learning Mathematics and Informatics in the High School,Problem Posing and Solving: Strategic Italian Key Action to Enhance Teaching and Learning Mathematics and Informatics in the High School,screening,eligibility,excluded,excluded,946.0,remove_duplicate_record_from_prisma_flow
9832,1191,doi,10.1080/0020739x.2020.1788185,Mathematical modeling: a positive learning approach to facilitate student sense making in mathematics,Mathematical modeling: a positive learning approach to facilitate student sense making in mathematics,screening,eligibility,excluded,excluded,1191.0,remove_duplicate_record_from_prisma_flow
7502,1427,doi,10.1590/scielopreprints.11375,O que revelam pesquisas recentes sobre as potencialidades e aplicabilidades da Inteligência Artificial para o ensino e aprendizagem da Matemática na Educação Básica?,O que revelam pesquisas recentes sobre as potencialidades e aplicabilidades da Inteligência Artificial para o ensino e aprendizagem da Matemática na Educação Básica?,eligibility,eligibility,excluded,excluded,1427.0,remove_duplicate_record_from_prisma_flow
7637,1581,doi,10.22190/futlte250429005s,USPEŠNOST AI MATH SOLVER ALATA U REŠAVANJU NESTANDARDNIH ZADATAKA SA MATEMATIČKIH TAKMIČENJA,SUCCESS OF AI MATH SOLVER TOOL IN SOLVING NON-STANDARD MATHEMATICS COMPETITION PROBLEMS,eligibility,eligibility,excluded,excluded,1581.0,remove_duplicate_record_from_prisma_flow
7919,1590,doi,10.1109/iccda64887.2024.10867358,Artificial Intelligence in Mathematics and Machine Learning,Artificial Intelligence in Mathematics and Machine Learning,screening,screening,excluded,excluded,1590.0,remove_duplicate_record_from_prisma_flow
8938,1625,doi,10.59666/arete.1984-7505.v22.n36.4153,SALA DE ARTICULAÇÃO: UM ESTUDO COM ALUNOS EM SITUAÇÃO DEFASAGEM EM MATEMÁTICA,SALA DE ARTICULAÇÃO: UM ESTUDO COM ALUNOS EM SITUAÇÃO DEFASAGEM EM MATEMÁTICA,screening,eligibility,excluded,excluded,1625.0,remove_duplicate_record_from_prisma_flow
3539,7686,url,https://www.semanticscholar.org/paper/9a85c67b24632aac31b8c837a659b43dc668d2c1,Using Reinforcement Learning to Optimize the Policies of an Intelligent Tutoring System for Interpersonal Skills Training,Using Reinforcement Learning to Optimize the Policies of an Intelligent Tutoring System for Interpersonal Skills Training,screening,eligibility,excluded,excluded,7686.0,remove_duplicate_record_from_prisma_flow
7760,2321,doi,10.1109/ieir56323.2022.10050082,Prospects and Challenges of Equipping Mathematics Tutoring Systems with Personalized Learning Strategies,Prospects and Challenges of Equipping Mathematics Tutoring Systems with Personalized Learning Strategies,screening,screening,excluded,excluded,7760.0,remove_duplicate_record_from_prisma_flow
2109,9357,doi,10.11606/d.12.2021.tde-10012022-120953,Até onde foi a lama? análise dos efeitos do rompimento da barragem de rejeitos em Mariana (MG) em indicadores educacionais,"How far did the mud go? an analysis of the effects of a tailings dam failure at Mariana, Brazil, on educational indicators",screening,screening,excluded,excluded,2109.0,remove_duplicate_record_from_prisma_flow
2261,9371,doi,10.46551/emd.e202104,Modelagem Matemática: uma proposta de ensino para alunos deficientes visuais,Modelagem Matemática: uma proposta de ensino para alunos deficientes visuais,screening,screening,excluded,excluded,2261.0,remove_duplicate_record_from_prisma_flow
7948,2463,doi,10.32473/flairs.v34i1.128574,Virtual Agents for Real Teachers: Applying AI to Support Professional Development of Proportional Reasoning,Virtual Agents for Real Teachers: Applying AI to Support Professional Development of Proportional Reasoning,screening,screening,excluded,excluded,2463.0,remove_duplicate_record_from_prisma_flow
2536,9667,doi,10.33448/rsd-v8i3.805,Modelagem matemática: uma alternativa metodológica para o ensino básico,Modelagem matemática: uma alternativa metodológica para o ensino básico,screening,screening,excluded,excluded,2536.0,remove_duplicate_record_from_prisma_flow
2628,8031,doi,10.1016/j.lindif.2018.11.005,The relationship of personality traits and different measures of domain-specific achievement in upper secondary education,The relationship of personality traits and different measures of domain-specific achievement in upper secondary education,eligibility,eligibility,excluded,excluded,2628.0,remove_duplicate_record_from_prisma_flow
2987,8177,doi,10.17762/turcomat.v12i2.1101,Facial Emotion Based Music Recommendation System using computer vision and machine learning techiniques,Facial Emotion Based Music Recommendation System using computer vision and machine learning techiniques,screening,screening,excluded,excluded,2987.0,remove_duplicate_record_from_prisma_flow
8299,3095,doi,10.3390/math13040555,A Model for Learning-Curve Estimation in Efficient Neural Architecture Search and Its Application in Predictive Health Maintenance,A Model for Learning-Curve Estimation in Efficient Neural Architecture Search and Its Application in Predictive Health Maintenance,screening,screening,excluded,excluded,3095.0,remove_duplicate_record_from_prisma_flow
5748,8308,doi,10.1109/iset.2017.37,Evaluating an Intelligent Tutoring System for Personalized Math Teaching,Evaluating an Intelligent Tutoring System for Personalized Math Teaching,screening,eligibility,excluded,excluded,8308.0,remove_duplicate_record_from_prisma_flow
10453,3185,url,https://openalex.org/w2898761039,Introduction to machine learning with Python a guide for data scientists,Introduction to machine learning with Python: a guide for data scientists,eligibility,eligibility,excluded,excluded,3185.0,remove_duplicate_record_from_prisma_flow
8549,3376,doi,10.1108/ijilt-05-2017-0043,A structural equation modelling approach for adoption of e-book amongst mathematics and statistics (MAS) students at higher education institutions in Libya,A structural equation modelling approach for adoption of e-book amongst mathematics and statistics (MAS) students at higher education institutions in Libya,screening,screening,excluded,excluded,3376.0,remove_duplicate_record_from_prisma_flow
4824,8725,doi,10.26512/2015.03.d.18169,"Criatividade em matemática : um modelo preditivo considerando a percepção de alunos do ensino médio acerca das práticas docentes, a motivação para aprender e o conhecimento em relação à matemática","Criatividade em matemática : um modelo preditivo considerando a percepção de alunos do ensino médio acerca das práticas docentes, a motivação para aprender e o conhecimento em relação à matemática",screening,screening,excluded,excluded,8725.0,remove_duplicate_record_from_prisma_flow
5131,9205,doi,10.1002/sce.21198,Modeling Scientific Processes with Mathematics Equations Enhances Student Qualitative Conceptual Understanding and Quantitative Problem Solving.,Modeling Scientific Processes With Mathematics Equations Enhances Student Qualitative Conceptual Understanding and Quantitative Problem Solving,screening,screening,excluded,excluded,9205.0,remove_duplicate_record_from_prisma_flow
10030,4113,doi,10.26512/2017.06.d.25220,A ludicidade como ferramenta no processo de ensino-aprendizagem da matemática : passeando por Brasília e aprendendo geometria : experiências numa escola da periferia do Distrito Federal,A ludicidade como ferramenta no processo de ensino-aprendizagem da matemática : passeando por Brasília e aprendendo geometria : experiências numa escola da periferia do Distrito Federal,screening,screening,excluded,excluded,4113.0,remove_duplicate_record_from_prisma_flow
