ID,Title,Authors,Year,Design,Q1,Q2,Q3,Q4,Q5,Score,Quality,Limitations
Implementation2025_000,The Implementation of Educational Data Mining in Predicting Students’ Academic Achievement in Mathematics at a Private Elementary School,H. Tjahyadi,2025,Quantitativo Descritivo,Y,N,Y,CT,Y,3,Moderada,Single private school (n=280); limited representativeness; nonresponse not discussed
Design2025_004,Design of Personalized Learning Path Optimization Algorithm Based on Deep Learning,Lei Zhang et al.,2025,Quantitativo Não-Randomizado,CT,Y,CT,N,Y,2,Baixa,Population unclear; data completeness not discussed; confounders not controlled
Enhancing2025_012,Enhancing Student Achievement in Circle Theorems: Integrating Computer Animation with the Jigsaw Cooperative Learning Model,Rahmat Opoku Nyantah et al.,2025,Quantitativo Não-Randomizado,Y,Y,CT,N,Y,3,Moderada,Cluster assignment; confounders not controlled; data completeness not reported
Assessing2024_015,Assessing the Effectiveness of Adaptive Learning Systems in K-12 Education,Boby Chellanthara Jose et al.,2024,Métodos Mistos,Y,CT,CT,N,Y,2,Baixa,Quali-quanti integration insufficient; divergences not discussed
Authentic2024_013,"Authentic Assessment for Motivating Student Learning and Teaching Effectiveness in Rural, High-Need Secondary Schools in Manitoba, Canada",Eric. K. Appiah-Odame,2024,Qualitativo,Y,Y,Y,Y,N,4,Alta,Small sample (12 teachers); specific rural context; no triangulation
Machine2024_009,Machine learning methods as auxiliary tool for effective mathematics teaching,Marina Milićević et al.,2024,Quantitativo Descritivo,Y,N,Y,CT,Y,3,Moderada,Single technical faculty; limited representativeness; nonresponse not discussed
Performance2023_014,Performance assessment: Improving metacognitive ability in mathematics learning,N. M. S. Mertasari et al.,2023,Quantitativo Não-Randomizado,Y,Y,CT,Y,Y,4,Alta,Cluster randomization; data completeness not explicit
Innovative2023_005,An Innovative Model of Higher Mathematics Curriculum Education Incorporating Artificial Intelligence Technology,Xiaohui Zhang,2023,Quantitativo Não-Randomizado,CT,Y,CT,Y,Y,3,Moderada,Higher education only; data completeness not reported
Machine2022_010,A Machine Learning and Explainable AI Approach for Predicting Secondary School Student Performance,Khan Md Hasib et al.,2022,Quantitativo Descritivo,Y,Y,Y,CT,Y,4,Alta,Secondary dataset; completeness not discussed; no real classroom validation
Analysis2022_003,Analysis of Feature Selection and Data Mining Techniques to Predict Student Academic Performance,Mukesh Kumar et al.,2022,Quantitativo Descritivo,Y,CT,Y,CT,N,2,Baixa,Dataset origin unclear; no cross-validation; limited metrics
Math2021_001,Math proficiency prediction in computer-based international large-scale assessments using a multi-class machine learning model,Aleksandar Pejic et al.,2021,Quantitativo Descritivo,Y,Y,Y,Y,Y,5,Alta,Robust PISA dataset; rigorous sampling; no critical limitations identified
Analysis2021_016,Analysis of Facebook in the Teaching-Learning Process about Mathematics Through Data Science,R. Salas-Rueda,2021,Quantitativo Não-Randomizado,N,Y,CT,N,CT,1,Muito Baixa,Small sample (n=46); convenience sample; confounders not controlled; observational
Data2020_011,Data Mining for Student Performance Prediction in Education,Ferda Ünal,2020,Quantitativo Descritivo,Y,CT,CT,CT,CT,1,Muito Baixa,Insufficient methodology description; metrics not detailed; bias not discussed
Multimodels2020_002,Multi-models of Educational Data Mining for Predicting Student Performance in Mathematics: A Case Study on High Schools in Cambodia,Phauk Sokkhey et al.,2020,Quantitativo Descritivo,Y,CT,Y,CT,Y,3,Moderada,Cambodia-specific context; representativeness not discussed
Machine2019_007,Machine Learning-based Predictive Analytics of Student Academic Performance in STEM Education,Vladimir L. Uskov et al.,2019,Quantitativo Descritivo,Y,N,Y,CT,Y,3,Moderada,Single university; benchmark without classroom application; data not shared
Computational2017_008,"Computational Models of Human Learning: Applications for Tutor Development, Behavior Prediction, and Theory Testing",Christopher J. MacLellan,2017,Quantitativo Não-Randomizado,Y,Y,Y,Y,Y,5,Alta,7-domain validation; mixed-effects regression; well-specified models
Identifying2017_006,Identifying the Classification Performances of Educational Data Mining Methods: A Case Study for TIMSS,Serpil Kılıç Depren et al.,2017,Quantitativo Descritivo,Y,Y,Y,Y,Y,5,Alta,Robust TIMSS dataset; international sampling; multivariate analysis
