id,doi,url,paper_id,title,authors,year,publication_date,venue,source_publication,abstract,keywords,full_text,database,search_engine,query,search_terms,retrieved_at,citation_count,influential_citation_count,is_open_access,open_access_pdf,comp_techniques,edu_approach,study_type,eval_methods,selection_stage,exclusion_reason,inclusion_criteria_met,relevance_score,is_duplicate,duplicate_of,status,notes,tags,created_at,updated_at,stage_source_id
2,10.18178/ijiet.2025.15.1.2228,https://www.semanticscholar.org/paper/0ce6836a1d14374ecb9bd5e3f36f970e98cb41ad,0ce6836a1d14374ecb9bd5e3f36f970e98cb41ad,The Implementation of Educational Data Mining in Predicting Students’ Academic Achievement in Mathematics at a Private Elementary School,H. Tjahyadi,2025,,International Journal of Information and Education Technology,,"This paper examines the use of Educational Data Mining (EDM) to predict the academic performance of elementary students specifically in Mathematics. It explores ten Machine Learning classifiers, comprising eight base learners (Linear SVM, Logistic Regression, Medium KNN, Wide NN, Fine Decision Trees, Bilayered NN, Fine KNN, and Medium NN) as well as two ensemble learners (Ensemble Subspace Discriminant and Ensemble Boosted Trees) within the MATLAB environment. The analysis utilizes a dataset featuring 33 academic and demographic features of 280 students. To mitigate the imbalanced distribution in class data, resampling techniques such as Random Under-Sampling Boost (RUSBoost), Synthetic Minority Oversampling Technique (SMOTE), and hybrid combinations of both are employed. The experimental outcomes demonstrate that the hybrid-sampling SMOTERUSBoosted Trees algorithm achieves the highest accuracy of 75% on testing data, indicating the efficacy of combining oversampling and under-sampling techniques for modeling imbalanced datasets. This finding underscores the potential of EDM in the elementary education sphere to bolster data-driven interventions and enhance students’ Mathematics achievement.",,,semantic_scholar,semanticscholar,mathematics AND mining AND education,,2025-11-25 05:24:25,3.0,0.0,1,https://doi.org/10.18178/ijiet.2025.15.1.2228,"Machine Learning, Learning Analytics, Assessment",,experimental,performance; statistical,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.5,False,,included,"{""mmat_design"": ""quantitative_descriptive"", ""mmat_criteria"": {""Q1"": ""Y"", ""Q2"": ""N"", ""Q3"": ""Y"", ""Q4"": ""CT"", ""Q5"": ""Y""}, ""mmat_score"": 3, ""mmat_quality"": ""Moderada"", ""mmat_limitations"": ""Single private school (n=280); limited representativeness; nonresponse not discussed"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.130928""}",,2025-11-25 05:24:25,2026-08-31T04:39:36.304999,
1,10.1109/sisy52375.2021.9582522,https://www.semanticscholar.org/paper/d23946361105e17d3234d3fc61af3496d84c2a25,d23946361105e17d3234d3fc61af3496d84c2a25,Math proficiency prediction in computer-based international large-scale assessments using a multi-class machine learning model,Aleksandar Pejic; P. S. Molcer; Kristian Gulači,2021,2021-09-16,Symposium on Intelligent Systems and Informatics,,"This study examines whether a multi-class predictive machine learning model can be used to predict students’ math performance in computer-based international large-scale assessments. Raw data from the PISA 2012 computer-based assessment was used to conduct the experiments. Three-class neural network and random forest machine learning models were developed and compared in prediction performance for students’ proficiency in mathematics. The three levels of math proficiency were low, mediocre and high. Both machine learning models relied on background variables from student, parental and school questionnaires, as well as on the student math assessment data. Manual and a few automatic feature selection methods were explored while developing the machine learning models. Due to the imbalance in the three-class dataset Cohen’s Kappa coefficient and ROC AUC were used as main metrics of the model performance.",Computer Science,,semantic_scholar,semanticscholar,math AND machine learning AND learning,,2025-11-25 05:24:25,4.0,0.0,0,,"Machine Learning, Assessment, Predictive Analytics",,experimental,performance,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.5,False,,included,"{""mmat_design"": ""quantitative_descriptive"", ""mmat_criteria"": {""Q1"": ""Y"", ""Q2"": ""Y"", ""Q3"": ""Y"", ""Q4"": ""Y"", ""Q5"": ""Y""}, ""mmat_score"": 5, ""mmat_quality"": ""Alta"", ""mmat_limitations"": ""Robust PISA dataset; rigorous sampling; no critical limitations identified"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.137802""}",,2025-11-25 05:24:25,2026-03-28 05:01:25,
6915,10.1186/s40561-025-00415-z,10.1186/s40561-025-00415-z,682631199,AI-driven predictive models for optimizing mathematics education technology: Enhancing decision-making through educational data mining and meta-analysis,Aneng He; Wenwen Yuan; Lai Soon Lee; Tian Tian,2025,,SpringerOpen,,"Abstract This paper explores the challenge of achieving consistent effectiveness in integrating Mathematics Education Technology (MET) in K-12 classrooms, focusing on factors such as technology type, timing, and instructional strategies. It highlights the difficulties novice teachers face in optimizing MET compared to experienced educators, emphasizing the need to better understand the ideal duration and application of MET in various teaching settings. This study proposes using Artificial Intelligence (AI) to predict and optimize MET effectiveness, aiming to enhance student achievement. However, a key challenge is the lack of comprehensive MET databases, prompting the exploration of novel data collection methods and meta-analysis for educational data mining. An AI-based predictive model is developed for MET, analyzing 423 publications on its effectiveness in Chinese K-12 mathematics education. Nine AI-driven predictive models were created, with the best-performing predictive model being eXtreme Gradient Boosting, enhanced with L2 Regularization, Synthetic Minority Over-sampling Technique–augmented Regression (SMOTER), and Active Learning. The proposed model was further refined using Particle Swarm Optimization for hyperparameter tuning and analyzed with Shapley Additive Explanations (SHAP) values to assess feature importance. Numerical results indicated that the duration of MET usage is a critical factor for optimization. A controlled experiment in a Mainland China middle school validated the model’s efficacy, showing that model-guided MET significantly outperformed traditional methods. These findings offer valuable insights for bridging gaps between novice and experienced teachers, promoting educational equity, and providing practical recommendations for improving MET integration in Mathematics education",,,core,core,mathematics AND mining AND education,,2026-08-31 07:39:36,,,1,,"Learning Analytics, AI/Artificial Intelligence, Predictive Analytics",,experimental,user_feedback; statistical,eligibility,manual_exclusion_after_audit,year_range; language_en; math_focus; computational_techniques; has_abstract,4.4,False,,excluded,,,2026-08-31 07:39:36,2026-08-31 10:24:29,
6916,10.1186/s40561-025-00389-y,10.1186/s40561-025-00389-y,669391719,Adaptive intelligent tutoring systems for STEM education: analysis of the learning impact and effectiveness of personalized feedback,William Villegas-Ch; Diego Buenano-Fernandez; Alexandra Maldonado Navarro; Aracely Mera-Navarrete,2025,,SpringerOpen,,"Abstract Teaching Science, Technology, Engineering, and Mathematics (STEM) disciplines faces significant challenges due to the increasing complexity of content and the diversity in students’ knowledge levels. Traditional teaching methods, characterized by their standardized approach, fail to adapt to individual needs, limiting learning potential. This problem is particularly evident in mathematics, physics, and programming, where mastering critical concepts requires a logical and sequential progression. This study proposes an artificial intelligence-based intelligent tutoring system to provide a real-time personalized and adaptive learning experience. The system integrates advanced deep learning and natural language processing models, allowing for targeted feedback and dynamic adjustment of learning trajectories. The results show significant improvements in several key metrics. The experimental group achieved an average precision of 85% in programming and 78% in mathematics, significantly outperforming the control group. Furthermore, a linear regression model identified a positive correlation between the time of interaction with the system and the rate of progress in fundamental concepts. Student perceptions were also highly positive, with 80% appreciating the usefulness of adaptive feedback. These findings identify the system’s potential to transform STEM teaching, address the lack of personalization, and improve learning in various educational settings",,,core,core,mathematics AND personalized AND learning,,2026-08-31 07:39:36,,,1,,"Machine Learning, Intelligent Tutoring, Adaptive Learning, AI/Artificial Intelligence",,experimental,performance; statistical,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.4,False,,included,,,2026-08-31 07:39:36,2026-08-31 07:39:36,
3,10.5573/ieiespc.2020.9.3.217,https://openalex.org/W3038720994,https://openalex.org/W3038720994,Multi-models of Educational Data Mining for Predicting Student Performance in Mathematics: A Case Study on High Schools in Cambodia,Phauk Sokkhey; Sin Navy; Ly Tong; Okazaki Takeo,2020,,IEIE Transactions on Smart Processing and Computing,,"Education is crucial for the development of any country. Analysis of education datasets requires effective algorithms to extract hidden information and gain the fruitful results to improve academic performance. Multiple models were used to maximize the contribution to the education environment. In this study, we used the spot-checking algorithm to compare these methods and find the most effective method. We propose three main classes of education research tools: a statistical analysis method, machine learning algorithms, and a deep learning framework. The data were obtained from many high schools in Cambodia. We introduced feature selection techniques to figure out the informative features that affect the future performance of students in mathematics. The proposed ensemble methods of tree-based classifiers provide satisfiying results, and in that, random forest algorithm generates the highest accuracy and the lowest predictive mean squared error, thus showing potential in this prediction and classification problem. The results from this work can be used as recipe and recommendation for mining various material settings in improving high school student performance in Cambodia.",Computer science; Random forest; Information gain ratio; Machine learning; Educational data mining,,openalex,openalex,mathematics AND mining AND education,,2025-11-25 05:24:25,23.0,,0,,"Machine Learning, Learning Analytics, Predictive Analytics",,case study,performance; statistical,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.4,False,,included,"{""mmat_design"": ""quantitative_descriptive"", ""mmat_criteria"": {""Q1"": ""Y"", ""Q2"": ""CT"", ""Q3"": ""Y"", ""Q4"": ""CT"", ""Q5"": ""Y""}, ""mmat_score"": 3, ""mmat_quality"": ""Moderada"", ""mmat_limitations"": ""Cambodia-specific context; representativeness not discussed"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.137802""}",,2025-11-25 05:24:25,2026-03-28 05:01:25,
4,10.1109/dasa54658.2022.9765236,https://openalex.org/W4225307903,https://openalex.org/W4225307903,Analysis of Feature Selection and Data Mining Techniques to Predict Student Academic Performance,Mukesh Kumar; Chetan Sharma; Shamneesh Sharma; Nidhi Nidhi; Nazrul Islam,2022,,2022 International Conference on Decision Aid Sciences and Applications (DASA),,"Educational Data Mining is a field of study that aims to find patterns and information in educational institutions through mining educational data. To become a better teacher, teachers need to anticipate their pupils' performance patterns. Knowledge gained from it can be used in various ways, such as a strategic plan for delivering high-quality education. This report suggests that students' final grades can be predicted using data mining techniques based on past research. On two educational datasets related to mathematics classes and Portuguese language lessons, three well-known data mining approaches, such as Decision Tree, JRip, Naive Bayes, Multilayer Perceptron, and Random Forest, were utilized in the experiments. As a result, using the employed data mining methods, student success might be predicted with reasonable accuracy.",Educational data mining; Computer science; Decision tree; Naive Bayes classifier; Feature selection,,openalex,openalex,mathematics AND mining AND education,,2025-11-25 05:24:25,15.0,,0,,Learning Analytics,,experimental,performance,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.3,False,,included,"{""mmat_design"": ""quantitative_descriptive"", ""mmat_criteria"": {""Q1"": ""Y"", ""Q2"": ""CT"", ""Q3"": ""Y"", ""Q4"": ""CT"", ""Q5"": ""N""}, ""mmat_score"": 2, ""mmat_quality"": ""Baixa"", ""mmat_limitations"": ""Dataset origin unclear; no cross-validation; limited metrics"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.137802""}",,2025-11-25 05:24:25,2026-03-28 05:01:25,
6917,10.14569/ijacsa.2026.0170516,https://www.semanticscholar.org/paper/2145aef52bdf632d81edd19452a0bbbe1873a807,2145aef52bdf632d81edd19452a0bbbe1873a807,A Hybrid Neuro-Fuzzy and Machine Learning Model for Student Performance Prediction in Online Mathematics Education,Beyza Esin Özseven; Turgut Özseven,2026,,International Journal of Advanced Computer Science and Applications,,"Accurate and early prediction of student success in online mathematics education is critical for improving learning processes and developing personalized instruction strategies. However, students' problem-solving behaviors, interaction levels, and learning speeds in online learning environments inherently contain uncertainty, limiting the effectiveness of traditional assessment and singular machine learning approaches. This study proposes a hybrid neuro-fuzzy and machine learning-based student success prediction framework that combines the ability of fuzzy logic to represent uncertainty with the strong generalization and adaptive learning capabilities of machine learning methods. In the proposed approach, student success trends are primarily modeled using ANFIS, Random Forest, and XGBoost models, employing raw and derived features on the ASSISTments dataset. The predictions from these models are treated as continuous success representations reflecting uncertainty in students' learning behaviors and are used as input to a hybrid classification structure to make binary success/failure decisions. Thus, the ANFIS model is positioned as an uncertainty-aware and interpretable context generator, while the Random Forest and XGBoost models provide discriminative classification power. Experimental results demonstrate that both ANFIS and Random Forest models exhibit high individual performance; however, combining their complementary features within a hybrid structure significantly increases prediction stability and generalization. Unlike the limitations of 'black box' models in the literature, the interpretability provided by ANFIS, through its linguistic rules and membership functions, enables the proposed approach to generate pedagogically transparent and actionable implications. The findings reveal that this hybrid framework, which integrates uncertainty management with high prediction accuracy, offers a powerful decision-support mechanism for early identification of at-risk students and for developing personalized intervention strategies in online mathematics education.",,,semantic_scholar,semanticscholar,mathematics AND machine learning AND education,,2026-08-31 07:39:36,0.0,0.0,1,https://thesai.org/Downloads/Volume17No5/Paper_16-A_Hybrid_Neuro_Fuzzy_and_Machine_Learning_Model.pdf,"Machine Learning, Adaptive Learning, Assessment, Predictive Analytics",,experimental,performance,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.25,False,,included,,,2026-08-31 07:39:36,2026-08-31 07:39:36,
5,10.1109/cipae66821.2025.00116,https://www.semanticscholar.org/paper/131a6b2c5194fbe51f601d09d70b7bb1ec2970b5,131a6b2c5194fbe51f601d09d70b7bb1ec2970b5,Design of Personalized Learning Path Optimization Algorithm Based on Deep Learning,Lei Zhang; Weihua Zhu; Ling Feng,2025,2025-08-26,"International Conferences on Computers, Information Processing and Advanced Education",,"This study focuses on designing a personalized learning path optimization algorithm based on deep learning, aiming to improve learning efficiency and quality. The algorithm innovatively integrates knowledge graph and reinforcement learning, and introduces sentiment analysis. The knowledge graph clearly presents the course knowledge system, reinforcement learning dynamically adjusts the path according to the real-time status of students, and sentiment analysis takes students' emotions into consideration to optimize the learning experience. In the experimental stage, the performance data of multiple courses (such as mathematics, Chinese, and English) in one semester were collected, including regular homework, quizzes, and final exam scores, and students' learning behavior logs were recorded. A comparison was made between traditional collaborative filtering and shallow neural networks based on deep learning recommendation. Experimental results showed that compared with control group, the learning effect was significantly improved by 15%, learning time decreased by 20%, and user satisfaction was 4.2 (5 points). This fully verifies the excellent performance of the new algorithm in generating personalized learning paths, and provides strong support for the development of personalized learning in the field of education.",,,semantic_scholar,semanticscholar,mathematics AND personalized AND education,,2025-11-25 05:24:25,0.0,0.0,0,,"Machine Learning, Adaptive Learning",,experimental,user_feedback,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.25,False,,included,"{""mmat_design"": ""quantitative_nonrandomized"", ""mmat_criteria"": {""Q1"": ""CT"", ""Q2"": ""Y"", ""Q3"": ""CT"", ""Q4"": ""N"", ""Q5"": ""Y""}, ""mmat_score"": 2, ""mmat_quality"": ""Baixa"", ""mmat_limitations"": ""Population unclear; data completeness not discussed; confounders not controlled"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.134801""}",,2025-11-25 05:24:25,2026-03-28 05:01:25,
7,10.2478/amns.2023.2.01524,https://www.semanticscholar.org/paper/1bbee8ff1d91cb08257bb34a081df15a588df7f5,1bbee8ff1d91cb08257bb34a081df15a588df7f5,An Innovative Model of Higher Mathematics Curriculum Education Incorporating Artificial Intelligence Technology,Xiaohui Zhang,2023,2023-12-18,Applied Mathematics and Nonlinear Sciences,,"Abstract This paper first proposes the direction of constructing a higher mathematics teaching mode supported by intelligent technology and then models the learner portrait of the learning outcome data according to the subject knowledge graph. An improved ant colony optimization algorithm is used to search for the optimal learning path, which is then combined with an improved convolutional neural network to generate a personalized learning path. The Trans R method is used to quantify the relationship between learners and learning resources and a semi-supervised learning conditional random field method based on K-NN is proposed to label learning resources and generate learning accurate evaluation for smart teaching. The smart teaching model of advanced mathematics courses is applied and analyzed in terms of students’ advanced mathematics pre and post-test scores, students’ satisfaction, teachers’ teaching methods and teaching resources in four directions. The analysis obtained that the posttest scores of the learners in the experimental group were 75.631, and the posttest scores of the learners in the control group were 66.314, with a difference of 9.317. The significance level of the variance chi-square test was 0.000<0.05, which shows that there is a significant difference between the posttest scores of the experimental group and those of the control group, and it indicates that the wisdom teaching of higher mathematics significantly enhances the learning performance of the learners.",,,semantic_scholar,semanticscholar,mathematics AND personalized AND education,,2025-11-25 05:24:25,3.0,0.0,1,https://sciendo.com/pdf/10.2478/amns.2023.2.01524,"Machine Learning, Adaptive Learning, AI/Artificial Intelligence, Assessment",,experimental,statistical; user_feedback,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.25,False,,included,"{""mmat_design"": ""quantitative_nonrandomized"", ""mmat_criteria"": {""Q1"": ""CT"", ""Q2"": ""Y"", ""Q3"": ""CT"", ""Q4"": ""Y"", ""Q5"": ""Y""}, ""mmat_score"": 3, ""mmat_quality"": ""Moderada"", ""mmat_limitations"": ""Higher education only; data completeness not reported"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.136802""}",,2025-11-25 05:24:25,2026-03-28 05:01:25,
6,10.12738/estp.2017.5.0634,https://openalex.org/W2744614829,https://openalex.org/W2744614829,Identifying the Classification Performances of Educational Data Mining Methods: A Case Study for TIMSS,Serpil Kılıç Depren; Öyküm Esra Aşkın; Ersoy Öz,2017,,Educational Sciences Theory & Practice,,"Educational data mining (EDM) is a rapidly growing research area, and the outputs obtained from EDM shed light on educators' and education planners' efforts to make efficient decisions concerning educational strategies. However, a lack of work still exists on using EDM methods for international assessment studies such as the International Association for the Evaluation of Educational Achievement's Trends in International Mathematics and Science Study (IEA's TIMSS). This study aims to fill the gap in the current literature on the latest-released TIMSS 2011 data by applying a decision tree, a Bayesian network, a logistic regression, and neural networks. The best performing algorithm in classification based on several performance measures has been found for eighth-grade Turkish students' mathematics data. During the construction of models, 11 student-based factors have been taken into account. The results show that logistic regression outperforms other algorithms in terms of measuring classification performance. The factor of student confidence has also been found as the most effective factor on eighth-grade students' mathematics achievement.",Mathematics education; Turkish; Logistic regression; Decision tree; Educational data mining,,openalex,openalex,mathematics AND mining AND education,,2025-11-25 05:24:25,34.0,,1,,"Learning Analytics, Assessment",,case study,statistical; user_feedback,included,,year_range; language_en; math_focus; computational_techniques; has_abstract,4.25,False,,included,"{""mmat_design"": ""quantitative_descriptive"", ""mmat_criteria"": {""Q1"": ""Y"", ""Q2"": ""Y"", ""Q3"": ""Y"", ""Q4"": ""Y"", ""Q5"": ""Y""}, ""mmat_score"": 5, ""mmat_quality"": ""Alta"", ""mmat_limitations"": ""Robust TIMSS dataset; international sampling; multivariate analysis"", ""mmat_assessed_at"": ""2026-03-28T02:01:25.137802""}",,2025-11-25 05:24:25,2026-03-28 05:01:25,
